x,y,node_id,kind,group
60,4,345693,leaf,1
61,4,471936,leaf,1
62,4,486400,leaf,1
63,4,438908,leaf,1
64,4,756736,leaf,2
65,4,756039,leaf,2
66,4,736004,leaf,2
67,4,721842,leaf,2
68,4,717884,branch,2
69,4,723281,leaf,2
70,4,901343,leaf,2
71,4,735094,leaf,2
72,4,925952,leaf,2
73,4,814603,leaf,2
74,4,874779,leaf,2
75,4,859001,leaf,2
76,4,856303,leaf,2
77,4,853521,leaf,2
78,4,852853,leaf,2
79,4,841601,leaf,2
80,4,851955,leaf,2
81,4,835817,leaf,2
82,4,1122540,leaf,2
83,4,1040286,leaf,2
84,4,1024677,leaf,2
85,4,1023264,leaf,2
86,4,963345,leaf,2
87,4,1103446,leaf,2
88,4,966507,leaf,2
89,4,1065550,leaf,2
90,4,1069312,leaf,2
91,4,1068513,leaf,2
92,4,934449,leaf,2
93,4,1092048,leaf,2
94,4,1091746,leaf,2
95,4,1088546,leaf,2
96,4,1281719,leaf,3
97,4,1243549,leaf,3
98,4,1279471,leaf,3
99,4,1284183,leaf,3
100,4,1288711,leaf,3
101,4,1286782,leaf,3
102,4,1294334,leaf,3
103,4,1300564,leaf,3
104,4,1294229,leaf,3
105,4,1294554,leaf,3
106,4,1373384,leaf,3
107,4,245508,leaf,3
108,4,220432,leaf,3
109,4,1374023,leaf,3
110,4,211217,leaf,3
111,4,211216,leaf,3
112,4,1178523,leaf,3
113,4,1175497,leaf,3
114,4,1180626,leaf,3
115,4,1405617,leaf,3
116,4,1587265,leaf,3
117,4,1587264,leaf,3
118,4,1586605,leaf,3
119,4,1482606,leaf,3
120,4,1575836,leaf,3
121,4,1555169,leaf,3
122,4,1574757,leaf,3
123,4,1435374,leaf,3
124,4,1572096,leaf,3
125,4,1427196,leaf,3
126,4,1428086,leaf,3
127,4,1413896,leaf,3
0,5,100574,leaf,0
1,5,87533,leaf,0
2,5,133121,leaf,0
3,5,109973,leaf,0
4,5,118371,leaf,0
5,5,112902,leaf,0
6,5,104352,leaf,0
7,5,247401,leaf,0
8,5,271813,leaf,0
9,5,91557,leaf,0
10,5,72168,leaf,0
11,5,249046,leaf,0
12,5,94461,leaf,0
13,5,75002,leaf,0
14,5,84275,leaf,0
15,5,76570,leaf,0
16,5,85377,leaf,0
17,5,74303,leaf,0
18,5,49315,leaf,0
19,5,77250,leaf,0
20,5,293620,leaf,0
21,5,49314,leaf,0
22,5,393094,leaf,0
23,5,367996,leaf,0
24,5,498810,leaf,0
25,5,484258,leaf,0
26,5,435892,leaf,0
27,5,434945,leaf,0
28,5,451203,leaf,0
29,5,156418,leaf,0
30,5,156419,leaf,0
31,5,147352,leaf,0
32,5,360724,leaf,1
33,5,360725,leaf,1
34,5,361950,leaf,1
35,5,369983,leaf,1
36,5,281432,leaf,1
37,5,214479,leaf,1
38,5,337559,leaf,1
39,5,137561,branch,1
40,5,212500,leaf,1
41,5,569790,leaf,1
42,5,550621,leaf,1
43,5,211971,leaf,1
44,5,544836,leaf,1
45,5,632833,leaf,1
46,5,632832,leaf,1
47,5,631813,leaf,1
48,5,537965,leaf,1
49,5,538433,leaf,1
50,5,531529,leaf,1
51,5,539392,leaf,1
52,5,532723,leaf,1
53,5,511140,leaf,1
54,5,646780,leaf,1
55,5,647698,leaf,1
56,5,312918,leaf,1
